name,age,gender,course,year,attendance,gpa_sem1,gpa_sem2,gpa_sem3,gpa_sem4,gpa_sem5,backlog_count,event_participation,dropout_thought,avg_gpa,event_score,has_backlog,risk_probability,predicted_risk_probability,risk_level
Karan Sharma,21,Female,BSc IT,1st Year,58,7.4,7.3,8.2,6.3,6.4,0.0,occasionally,0,7.1,2,0,0.36918089864033365,0.36,Medium
Rohan Mishra,21,Male,BA,2nd Year,46,7.0,6.5,6.4,6.9,7.3,2.0,regularly,0,6.8,3,1,0.5512801272623586,0.55,Medium
Vivaan Gupta,22,Male,BSc IT,3rd Year,73,7.4,6.3,7.0,6.3,9.2,0.0,regularly,0,7.2,3,0,0.22958249542275702,0.23,Low
Aisha Saxena,18,Female,BSc IT,2nd Year,75,8.0,5.5,7.2,4.6,5.4,5.0,rarely,1,6.2,1,1,0.8439535372332443,0.81,High
Pooja Nair,22,Female,BSc CS,3rd Year,87,8.6,6.9,8.2,7.4,6.2,2.0,never,1,7.5,0,1,0.4658732779061738,0.47,Medium
Karan Iyer,19,Male,BA,2nd Year,73,7.1,6.6,7.1,4.6,6.7,1.0,rarely,0,6.4,1,1,0.5214455082990666,0.52,Medium
Aisha Saxena,21,Male,BSc CS,3rd Year,77,7.7,7.8,7.4,5.2,8.1,0.0,occasionally,0,7.3,2,0,0.2673710117957798,0.27,Low
Yash Gupta,21,Male,BSc CS,2nd Year,72,7.1,8.2,7.0,6.6,6.5,2.0,rarely,0,7.1,1,1,0.5237116186931596,0.52,Medium
Anjali Khan,20,Female,BSc IT,2nd Year,54,6.5,6.6,6.0,6.8,7.5,1.0,rarely,0,6.7,1,1,0.5768376504487198,0.57,Medium
Meera Mishra,21,Female,BSc CS,3rd Year,74,8.0,5.7,6.1,7.6,6.9,0.0,occasionally,0,6.9,2,0,0.3308221028303867,0.33,Medium
Kavya Singh,18,Female,BBA,2nd Year,96,8.3,4.0,8.8,9.6,7.0,0.0,occasionally,0,7.5,2,0,0.14758231533451394,0.15,Low
Tanvi Verma,22,Male,BSc CS,2nd Year,65,8.7,8.7,5.9,7.1,6.4,0.0,never,1,7.4,0,0,0.4302007983912117,0.43,Medium
Siddharth Gupta,22,Male,BA,3rd Year,69,8.0,7.9,5.9,6.4,8.3,0.0,rarely,0,7.3,1,0,0.36208242038598915,0.37,Medium
