name,age,gender,course,year,attendance,gpa_sem1,gpa_sem2,gpa_sem3,gpa_sem4,gpa_sem5,backlog_count,event_participation,dropout_thought,avg_gpa,event_score,has_backlog,gpa_trend,risk_probability,predicted_risk_probability
Sai Inamdar,21,0,4,0,58.32,7.38,7.33,8.21,6.3,6.37,0.0,occasionally,0,7.118,2,0,-1.0099999999999998,0.36918089864033365,0.35971716520419944
Sara Kapoor,21,1,0,1,46.3,7.03,6.49,6.36,6.86,7.27,2.0,regularly,0,6.802,3,1,0.23999999999999932,0.5512801272623586,0.5578991851606124
Karan Mehta,22,1,4,2,72.58,7.45,6.28,7.0,6.28,9.22,0.0,regularly,0,7.246,3,0,1.7700000000000005,0.22958249542275702,0.23121646745158994
Karan Desai,18,0,4,1,74.92,7.99,5.53,7.25,4.65,5.41,5.0,rarely,1,6.166,1,1,-2.58,0.8439535372332443,0.8010841825358007
Parth Dalvi,22,0,3,2,87.19,8.63,6.91,8.2,7.43,6.23,2.0,never,1,7.480000000000001,0,1,-2.4000000000000004,0.4658732779061738,0.462377574267078
Aarav Sharma,19,1,0,1,72.58,7.1,6.64,7.11,4.61,6.74,1.0,rarely,0,6.4399999999999995,1,1,-0.35999999999999943,0.5214455082990666,0.5208054362259548
Shruti Kamble,21,1,3,2,77.04,7.73,7.85,7.43,5.24,8.07,0.0,occasionally,0,7.264,2,0,0.33999999999999986,0.2673710117957798,0.2716310842008478
Shivansh Patankar,21,1,3,1,71.57,7.12,8.16,7.0,6.61,6.53,2.0,rarely,0,7.0840000000000005,1,1,-0.5899999999999999,0.5237116186931596,0.5245016089604313
Dhruv Bose,20,0,4,1,53.77,6.5,6.59,6.04,6.81,7.48,1.0,rarely,0,6.684,1,1,0.9800000000000004,0.5768376504487198,0.5779479809419872
Arjun Mhatre,21,0,3,2,73.88,7.98,5.73,6.09,7.55,6.92,0.0,occasionally,0,6.854000000000001,2,0,-1.0600000000000005,0.3308221028303867,0.3316420703640809
Riya Bhatt,18,0,1,1,96.5,8.28,4.0,8.78,9.59,7.01,0.0,occasionally,0,7.531999999999999,2,0,-1.2699999999999996,0.14758231533451394,0.1534386182985659
Parth Qureshi,22,1,3,1,64.98,8.69,8.67,5.94,7.09,6.41,0.0,never,1,7.359999999999999,0,0,-2.2799999999999994,0.4302007983912117,0.42939802547553796
Kavya Malhotra,22,1,0,2,68.75,8.03,7.86,5.86,6.36,8.32,0.0,rarely,0,7.286,1,0,0.2900000000000009,0.36208242038598915,0.36811313317138183
Anjali Bhosale,19,0,1,2,84.26,7.58,8.11,7.0,7.81,7.01,0.0,never,0,7.502,0,0,-0.5700000000000003,0.32634991145661374,0.32134656142152956
Ansh Shaikh,19,1,4,2,75.2,7.45,7.08,7.0,6.82,7.22,0.0,rarely,0,7.114,1,0,-0.23000000000000043,0.3536933097217636,0.35262878500773204
Khushi Chitale,21,0,2,0,82.08,7.3,7.42,6.18,7.28,7.35,0.0,occasionally,0,7.106,2,0,0.04999999999999982,0.2636491881021701,0.2609601593355468
Yash Sheikh,22,1,1,1,72.58,8.09,6.96,4.68,5.98,8.64,1.0,never,0,6.87,0,1,0.5500000000000007,0.5298496263168953,0.5228141656354498
Ritika Pillai,20,1,3,2,97.2,7.48,4.86,6.71,7.39,7.61,1.0,rarely,0,6.8100000000000005,1,1,0.1299999999999999,0.3661794279196806,0.37942166688976425
Simran Joshi,21,0,1,0,98.2,6.46,7.93,8.25,6.59,7.01,1.0,never,0,7.248,0,1,0.5499999999999998,0.36912086922592063,0.36875648567230856
Arnav Shah,19,0,0,0,72.58,5.63,7.43,7.67,8.3,7.01,0.0,regularly,0,7.208,3,0,1.38,0.23414473091814977,0.23447979081686687
Mayank Gadkari,20,1,4,1,65.94,7.79,5.28,5.58,7.59,6.8,1.0,occasionally,0,6.608,2,1,-0.9900000000000002,0.47114085902092023,0.4703157345549964
Bhavesh Bhat,20,0,1,0,57.71,5.2,7.2,5.97,6.95,6.36,1.0,regularly,0,6.336,3,1,1.1600000000000001,0.4808206020950265,0.48306041240855563
Simran Nair,21,1,3,0,76.2,4.61,7.51,6.35,7.93,6.94,1.0,regularly,0,6.667999999999999,3,1,2.33,0.3577152804874389,0.35820408101897605
Yamini Kamble,20,0,3,2,95.45,7.99,7.02,7.53,8.26,6.25,0.0,occasionally,0,7.409999999999999,2,0,-1.7400000000000002,0.1669568088363298,0.1763259672401392
Mansi Mathew,18,0,3,0,59.63,9.54,6.4,6.61,7.63,10.0,4.0,occasionally,1,8.036,2,1,0.46000000000000085,0.5532160758771798,0.5577928218123794
Ananya Jain,21,1,3,0,61.98,7.34,6.25,6.75,6.41,6.29,0.0,regularly,0,6.608,3,0,-1.0499999999999998,0.35390341267220937,0.3523201392812312
Vivek Dalvi,22,1,0,0,82.94,6.78,6.89,6.39,7.06,7.59,1.0,rarely,0,6.941999999999998,1,1,0.8099999999999996,0.4145331212294026,0.4205542178616062
Pooja Dubey,18,0,4,0,70.11,10.0,5.15,5.99,7.47,6.85,1.0,regularly,0,7.0920000000000005,3,1,-3.1500000000000004,0.3342287720983281,0.3324801627131706
Krishna Prajapati,19,0,2,0,100.0,7.49,7.11,7.1,6.69,8.42,0.0,occasionally,0,7.362,2,0,0.9299999999999997,0.15223459495152614,0.15925275169192327
Kiara Sheikh,19,0,4,1,71.49,8.39,6.43,6.2,8.63,4.56,1.0,occasionally,0,6.8420000000000005,2,1,-3.830000000000001,0.4180598493261697,0.41418775912523315
Saanvi Kadam,20,1,3,1,66.39,5.21,8.91,7.0,7.78,7.64,2.0,regularly,0,7.308,3,1,2.4299999999999997,0.4000810397094576,0.4086487134287105
Vihaan Chitale,18,1,3,0,38.11,6.59,7.55,7.08,8.18,7.57,1.0,occasionally,0,7.394,2,1,0.9800000000000004,0.5020710147972506,0.4985330673323309
Arnav Naidu,18,0,4,1,93.01,9.18,6.87,8.17,5.26,7.94,0.0,regularly,0,7.483999999999999,3,0,-1.2399999999999993,0.10902842392772456,0.12756670862243066
Bhavesh Chaudhari,19,1,1,1,67.11,6.04,5.39,6.61,5.01,9.07,0.0,never,0,6.4239999999999995,0,0,3.0300000000000002,0.5329861632199778,0.5338760420504913
Saanvi Chowdhury,22,0,4,0,55.2,9.2,8.42,6.44,4.94,7.01,3.0,rarely,0,7.202,1,1,-2.1899999999999995,0.6582825584536423,0.654743184975792
Siddharth Yadav,21,1,2,0,66.01,7.01,7.06,7.0,7.75,5.72,2.0,regularly,0,6.9079999999999995,3,1,-1.29,0.4498154095506798,0.4521759784661373
Rohan Lokhande,18,1,3,2,30.0,6.68,6.38,8.07,6.32,10.0,1.0,regularly,0,7.49,3,1,3.3200000000000003,0.46702884413362544,0.4690569648261206
Amit D'Souza,21,1,0,0,72.58,4.74,8.16,7.77,8.45,7.01,1.0,never,0,7.226000000000001,0,1,2.2699999999999996,0.4871086832547947,0.4851546305949375
Rudra Pawar,19,1,2,0,67.78,8.35,5.27,6.85,6.91,7.01,0.0,rarely,0,6.878,1,0,-1.3399999999999999,0.41543356244559826,0.41295665953177507
Parth Trivedi,20,0,1,1,75.66,8.29,7.09,7.42,7.74,7.01,0.0,regularly,0,7.51,3,0,-1.2799999999999994,0.18402016988324274,0.19496231515159437
